,common_name,0
0,Acadian Flycatcher,7
1,Accipiters,4
2,Allen's Hummingbird,3
3,American Barn Swallow,2
4,American Bittern,6
5,American Black Duck,18
6,American Black Duck × Mallard,4
7,American Common Merganser,1
8,American Coot,61
9,American Crow,38
10,American Goldfinch,144
11,American Great Egret,1
12,American Green-winged Teal,6
13,American Herring Gull,2
14,American Kestrel,47
15,American Pipit,1
16,American Redstart,51
17,American Robin,538
18,American Rosefinches,1
19,American Tree Sparrow,6
20,American Wigeon,16
21,American Woodcock,22
22,Anhinga,1
23,Bald Eagle,122
24,Baltimore Oriole,59
25,Bank Swallow,6
26,Barn Swallow,117
27,Barnacle Goose,2
28,Barred Owl,6
29,Bay-breasted Warbler,11
30,Belted Kingfisher,16
31,Black Tern,1
32,Black Vulture,38
33,Black-and-white Warbler,90
34,Black-bellied Whistling-Duck,4
35,Black-billed Cuckoo,5
36,Black-capped Chickadee,3
37,Black-crowned Night-Heron,3
38,Black-headed Gull,7
39,Black-throated Blue Warbler,37
40,Black-throated Green Warbler,13
41,Blackburnian Warbler,9
42,Blackpoll Warbler,27
43,Blue Grosbeak,3
44,Blue Jay,110
45,Blue-gray Gnatcatcher,55
46,Blue-headed Vireo,16
47,Blue-winged Teal,16
48,Blue-winged Warbler,9
49,Bobolink,4
50,Bonaparte's Gull,5
51,Brant,1
52,Broad-winged Hawk,6
53,Brown Booby,1
54,Brown Creeper,25
55,Brown Thrasher,17
56,Brown-headed Cowbird,78
57,Bufflehead,43
58,Cackling Goose,6
59,Calidris Sandpipers,1
60,Canada Goose,303
61,Canada Warbler,6
62,Canvasback,33
63,Cape May Warbler,9
64,Carolina Chickadee,60
65,Carolina Wren,90
66,Caspian Tern,29
67,Cattle Egret,1
68,Cave Swallow,2
69,Cedar Waxwing,39
70,Cerulean Warbler,6
71,Chestnut-sided Warbler,19
72,Chickadees and Allies,1
73,Chimney Swift,38
74,Chipping Sparrow,50
75,Chukar,3
76,Clay-colored Sparrow,1
77,Common Gallinule,13
78,Common Goldeneye,9
79,Common Grackle,157
80,Common Loon,6
81,Common Merganser,25
82,Common Nighthawk,4
83,Common Raven,6
84,Common Redpoll,4
85,Common Yellowthroat,112
86,Connecticut Warbler,3
87,Cooper's Hawk,123
88,Crows and Ravens,25
89,Dark-eyed Junco,92
90,Dickcissel,3
91,Domestic Guineafowl,1
92,Domestic Mallard,45
93,Domestic Muscovy Duck,17
94,Double-crested Cormorant,100
95,Downy Woodpecker,150
96,Dryobates Woodpeckers,3
97,Dunlin,1
98,Eastern Bluebird,18
99,Eastern Chipping Sparrow,1
100,Eastern Kingbird,57
101,Eastern Meadowlark,4
102,Eastern Phoebe,30
103,Eastern Red-tailed Hawk,1
104,Eastern Screech-Owl,19
105,Eastern Towhee,45
106,Eastern Whip-poor-will,4
107,Eastern Wood-Pewee,23
108,Empidonax Flycatchers,2
109,Eurasian Green-winged Teal,1
110,Eurasian Wigeon,3
111,European Starling,256
112,European house sparrow,1
113,Evening Grosbeak,1
114,Feral Pigeon,87
115,Field Sparrow,16
116,Fish Crow,7
117,Forster's Tern,2
118,Fox Sparrow,21
119,Gadwall,34
120,Glaucous Gull,1
121,Glossy Ibis,6
122,Golden-crowned Kinglet,33
123,Golden-winged Warbler,1
124,Grasshopper Sparrow,1
125,Gray Catbird,214
126,Gray-cheeked Thrush,1
127,Great Black-backed Gull,22
128,Great Blue Heron,200
129,Great Cormorant,8
130,Great Crested Flycatcher,22
131,Great Egret,111
132,Great Horned Owl,20
133,Great White Heron,6
134,Greater Scaup,10
135,Greater White-fronted Goose,3
136,Greater Yellowlegs,16
137,Green Heron,58
138,Green-winged Teal,25
139,Gulls,10
140,Hairy Woodpecker,22
141,Hermit Thrush,40
142,Herring Gull,11
143,Holarctic Mallard,1
144,Hooded Merganser,27
145,Hooded Warbler,5
146,Horned Grebe,6
147,Horned Lark,1
148,House Finch,171
149,House Sparrow,404
150,House Wren,63
151,Iceland Gull,2
152,Indigo Bunting,9
153,Japanese Quail,3
154,Killdeer,16
155,Large White-headed Gulls,5
156,Lark Sparrow,1
157,Laughing Gull,13
158,Least Bittern,6
159,Least Flycatcher,5
160,Least Sandpiper,6
161,Lesser Black-backed Gull,1
162,Lesser Scaup,21
163,Lesser Yellowlegs,15
164,Lincoln's Sparrow,4
165,Little Blue Heron,11
166,Long-billed Dowitcher,1
167,Long-eared Owl,1
168,Long-tailed Duck,4
169,Louisiana Waterthrush,6
170,Magnolia Warbler,23
171,Mallard,262
172,Mandarin Duck,7
173,Marbled Godwit,2
174,Marsh Wren,28
175,Merlin,14
176,Mourning Dove,300
177,Mourning Warbler,2
178,Mute Swan,110
179,Myrtle Warbler,6
180,Nashville Warbler,8
181,Northern Cardinal,268
182,Northern Flicker,72
183,Northern Harrier,3
184,Northern Mockingbird,201
185,Northern Parula,42
186,Northern Pintail,36
187,Northern Rough-winged Swallow,37
188,Northern Saw-whet Owl,8
189,Northern Shoveler,45
190,Northern Shrike,2
191,Northern Slate-colored Junco,4
192,Northern Waterthrush,25
193,Northern Yellow-shafted Flicker,2
194,Olive-sided Flycatcher,2
195,Orange-crowned Warbler,6
196,Orchard Oriole,16
197,Osprey,74
198,Ovenbird,126
199,Palm Warbler,41
200,Pectoral Sandpiper,3
201,Peregrine Falcon,280
202,Philadelphia Vireo,1
203,Pied-billed Grebe,26
204,Pileated Woodpecker,36
205,Pine Siskin,7
206,Pine Warbler,10
207,Prairie Warbler,11
208,Prothonotary Warbler,13
209,Purple Finch,4
210,Purple Gallinule,1
211,Purple Martin,3
212,Red Phalarope,1
213,Red-bellied Woodpecker,103
214,Red-breasted Merganser,3
215,Red-breasted Nuthatch,6
216,Red-eyed Vireo,26
217,Red-headed Woodpecker,11
218,Red-necked Phalarope,2
219,Red-shouldered Hawk,33
220,Red-tailed Hawk,249
221,Red-throated Loon,1
222,Red-winged Blackbird,208
223,Redhead,11
224,Ring-billed Gull,77
225,Ring-necked Duck,38
226,Rock Pigeon,72
227,Rose-breasted Grosbeak,20
228,Rough-legged Hawk,1
229,Ruby-crowned Kinglet,51
230,Ruby-throated Hummingbird,60
231,Ruddy Duck,38
232,Ruffed Grouse,1
233,Rusty Blackbird,32
234,Sanderling,1
235,Savannah Sparrow,22
236,Scaly-breasted Munia,1
237,Scarlet Tanager,34
238,"Scaups, Pochards, and Allies",3
239,Semipalmated Plover,2
240,Semipalmated Sandpiper,5
241,Sharp-shinned Hawk,7
242,Short-billed Dowitcher,1
243,Short-eared Owl,1
244,Snow Goose,7
245,Snowy Egret,3
246,Snowy Owl,1
247,Solitary Sandpiper,31
248,Song Sparrow,159
249,Sora,6
250,Southeastern Yellow-shafted Flicker,1
251,Spotted Sandpiper,15
252,Stilt Sandpiper,3
253,Summer Tanager,9
254,Swainson's Thrush,24
255,Swamp Sparrow,40
256,Swan Goose × Canada Goose,4
257,Taiga Merlin,1
258,Tennessee Warbler,6
259,Tree Swallow,135
260,Tricolored Heron,1
261,True Swans,1
262,Tufted Titmouse,41
263,Tundra Bean Goose,10
264,Tundra Swan,2
265,Turkey Vulture,103
266,Veery,26
267,Vesper Sparrow,5
268,Virginia Rail,4
269,Warbling Vireo,19
270,Western Palm Warbler,1
271,White Ibis,1
272,White-breasted Nuthatch,45
273,White-crowned Sparrow,7
274,White-eyed Vireo,3
275,White-rumped Sandpiper,1
276,White-throated Sparrow,170
277,White-winged Scoter,2
278,Wild Turkey,21
279,Willow Flycatcher,9
280,Wilson's Snipe,7
281,Wilson's Warbler,5
282,Winter Wren,11
283,Wood Duck,152
284,Wood Thrush,27
285,Worm-eating Warbler,2
286,Yellow Palm Warbler,2
287,Yellow Warbler,76
288,Yellow-bellied Flycatcher,3
289,Yellow-bellied Sapsucker,60
290,Yellow-billed Cuckoo,12
291,Yellow-breasted Chat,1
292,Yellow-crowned Night-Heron,1
293,Yellow-rumped Warbler,89
294,Yellow-throated Vireo,2
295,Yellow-throated Warbler,4
